Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Hecho #13: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",SISMO,-33.108586,-72.121437,08/05/2012
Hecho #14: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados",NEVADA,-27.026105,-69.766200,01/06/2016
Hecho #15: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales",DESLIZAMIENTO,-39.923917,-54.295009,22/08/2001
Hecho #16: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA,-47.273883,-70.936700,06/02/2015
Hecho #17: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía",VIENTO,-36.144117,-60.298144,07/09/2005
Hecho #18: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial",NEVADA,-52.830213,-57.153487,16/04/2020
Hecho #19: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA ELECTRICA,-26.860540,-67.691219,11/01/2005
Hecho #20: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía",NEVADA,-33.523410,-58.498440,28/10/2001
Hecho #21: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población",SEQUIA,-29.225017,-69.602096,12/03/2011
Hecho #22: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",TORMENTA,-42.946117,-67.304995,06/05/2011
Hecho #23: evento reportado,"Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INCENDIO,-21.996267,-66.763559,09/05/2013
Hecho #24: evento reportado,"Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía",INCENDIO,-24.633882,-53.071300,22/02/2022
Hecho #25: evento reportado,"Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados, Se emiten alertas tempranas y recomendaciones a la población",VIENTO,-28.534961,-68.708554,08/01/2018
Hecho #26: evento reportado,"Afecta a varias localidades, se registraron evacuados, Interviene defensa civil, bomberos y autoridades locales",INUNDACION,-48.382284,-70.415851,04/05/2009
Hecho #27: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial",NEVADA,-39.131486,-54.486171,16/09/2018
Hecho #28: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales, Afecta a varias localidades, se registraron evacuados",INUNDACION,-53.510672,-69.761386,21/12/2012
Hecho #29: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales",DESLIZAMIENTO,-49.754157,-55.414402,05/10/2005
Hecho #30: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados",SEQUIA,-31.776336,-59.990867,21/07/2000
Hecho #31: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",INCENDIO,-29.678087,-61.462770,07/02/2000
Hecho #32: evento reportado,"Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía",GRANIZO,-22.104669,-57.973226,09/10/2005
Hecho #33: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía, Afecta a varias localidades, se registraron evacuados",NEVADA,-43.921938,-58.480021,02/02/2021
Hecho #34: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales",NEVADA,-42.404370,-70.789476,09/12/2011
Hecho #35: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía",DESLIZAMIENTO,-39.035102,-53.010678,19/08/2011
Hecho #36: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía, Evaluación preliminar de impacto socioeconómico, ambiental y vial",NEVADA,-48.557974,-54.162205,10/04/2010
Hecho #37: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía",DESLIZAMIENTO,-50.582669,-55.068161,04/08/2006
Hecho #38: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados, Interviene defensa civil, bomberos y autoridades locales",GRANIZO,-38.826033,-60.554217,27/05/2018
Hecho #39: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población",SISMO,-47.285082,-62.544173,30/04/2000
Hecho #40: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",VIENTO,-32.226324,-62.274428,03/10/2015
Hecho #41: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales, Afecta a varias localidades, se registraron evacuados",INCENDIO,-40.136835,-72.701261,15/02/2024
Hecho #42: evento reportado,"Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía",TORMENTA,-26.688941,-63.010610,01/09/2022
Hecho #43: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales, Afecta a varias localidades, se registraron evacuados",SISMO,-31.190987,-60.524609,05/07/2009
Hecho #44: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Reporte de evento con daños materiales y cortes de energía, Afecta a varias localidades, se registraron evacuados",GRANIZO,-44.379534,-59.825876,04/01/2022
Hecho #45: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",DESLIZAMIENTO,-26.703167,-66.357211,12/02/2006
Hecho #46: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA,-27.638012,-63.574353,18/03/2006
Hecho #47: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía",GRANIZO,-41.825735,-60.273788,04/11/2008
Hecho #48: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Afecta a varias localidades, se registraron evacuados",DESLIZAMIENTO,-45.196844,-64.433890,14/06/2000
Hecho #49: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población",NEVADA,-31.795153,-53.757296,03/11/2006
Hecho #50: evento reportado,"Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales",SISMO,-50.248416,-58.891158,01/01/2022
Hecho #51: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados, Interviene defensa civil, bomberos y autoridades locales",VIENTO,-48.203121,-72.974525,19/08/2019
Hecho #52: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales",VIENTO,-54.749683,-72.534410,22/06/2008
Hecho #53: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población",INUNDACION,-28.244571,-59.193996,17/01/2008
Hecho #54: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía",SEQUIA,-32.395071,-64.747098,08/12/2008
Hecho #55: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población",NEVADA,-31.024377,-56.210581,23/01/2003
Hecho #56: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados, Interviene defensa civil, bomberos y autoridades locales",INUNDACION,-28.455213,-69.539692,29/01/2004
Hecho #57: evento reportado,"Afecta a varias localidades, se registraron evacuados, Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",NEVADA,-39.396864,-72.723462,24/07/2025
Hecho #58: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales",SISMO,-35.662799,-65.238353,04/11/2017
Hecho #59: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales",GRANIZO,-50.246902,-58.278718,12/06/2017
Hecho #60: evento reportado,"Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados",SEQUIA,-51.105977,-53.565445,19/03/2007
Hecho #61: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales",TORMENTA ELECTRICA,-32.274299,-55.326922,15/01/2022
Hecho #62: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial",VIENTO,-38.982729,-63.318508,20/07/2004
Hecho #63: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales",DESLIZAMIENTO,-35.781972,-56.743654,10/12/2024
Hecho #64: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados",SISMO,-28.990039,-71.593391,17/12/2012
Hecho #65: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA,-33.419577,-61.554553,08/07/2008
Hecho #66: evento reportado,"Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",GRANIZO,-36.178300,-54.514032,28/04/2019
Hecho #67: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados",SEQUIA,-35.986957,-65.072297,28/09/2010
Hecho #68: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía, Afecta a varias localidades, se registraron evacuados",DESLIZAMIENTO,-44.665697,-53.797987,10/12/2006
Hecho #69: evento reportado,"Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía",DESLIZAMIENTO,-53.952194,-68.586298,08/08/2017
Hecho #70: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INUNDACION,-40.151609,-70.887324,04/08/2018
Hecho #71: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INUNDACION,-47.704121,-62.504753,14/07/2015
Hecho #72: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía",TORMENTA,-41.110026,-54.855063,23/11/2011
Hecho #73: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA,-25.984296,-66.774416,19/06/2008
Hecho #74: evento reportado,"Afecta a varias localidades, se registraron evacuados, Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",GRANIZO,-47.046057,-56.996794,25/05/2010
Hecho #75: evento reportado,"Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",TORMENTA,-53.017707,-69.616055,07/07/2022
Hecho #76: evento reportado,"Afecta a varias localidades, se registraron evacuados, Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",NEVADA,-45.432948,-58.088592,04/04/2009
Hecho #77: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales",TORMENTA,-45.017812,-61.859461,26/11/2024
Hecho #78: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales",SISMO,-32.494838,-69.499660,01/10/2003
Hecho #79: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INUNDACION,-36.060907,-58.638255,10/03/2004
Hecho #80: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados",TORMENTA,-28.347461,-58.724878,25/07/2008
Hecho #81: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",SISMO,-32.413340,-62.691295,29/01/2000
Hecho #82: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",DESLIZAMIENTO,-41.182847,-68.490647,22/08/2022
Hecho #83: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales, Afecta a varias localidades, se registraron evacuados",SISMO,-27.323307,-70.354122,06/10/2008
Hecho #84: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",INUNDACION,-49.322921,-53.854899,18/08/2002
Hecho #85: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial",SEQUIA,-54.227790,-59.883749,05/12/2015
Hecho #86: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados",VIENTO,-51.938373,-56.815170,03/09/2024
Hecho #87: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA,-30.439782,-59.060589,03/08/2025
Hecho #88: evento reportado,"Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados",NEVADA,-39.296174,-56.410527,08/10/2002
Hecho #89: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía",GRANIZO,-49.516760,-69.750184,01/06/2020
Hecho #90: evento reportado,"Afecta a varias localidades, se registraron evacuados, Se emiten alertas tempranas y recomendaciones a la población",INCENDIO,-37.964478,-63.060996,27/04/2009
Hecho #91: evento reportado,"Afecta a varias localidades, se registraron evacuados, Reporte de evento con daños materiales y cortes de energía",NEVADA,-49.821389,-59.657505,13/07/2021
Hecho #92: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial",DESLIZAMIENTO,-31.325107,-70.932202,12/08/2015
Hecho #93: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INUNDACION,-39.830687,-70.000861,03/11/2018
Hecho #94: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía, Evaluación preliminar de impacto socioeconómico, ambiental y vial",DESLIZAMIENTO,-42.045278,-60.320348,28/07/2021
Hecho #95: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Se emiten alertas tempranas y recomendaciones a la población",DESLIZAMIENTO,-44.748589,-55.625884,20/01/2023
Hecho #96: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial",VIENTO,-33.570392,-59.791676,12/09/2003
Hecho #97: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Afecta a varias localidades, se registraron evacuados",NEVADA,-42.698371,-72.275904,21/08/2018
Hecho #98: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",NEVADA,-52.019903,-53.591342,20/08/2003
Hecho #99: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial",TORMENTA,-50.987799,-70.209862,21/04/2024
Hecho #100: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales",NEVADA,-22.295479,-68.348755,06/03/2016
Hecho #101: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",SISMO,-24.108257,-53.500654,16/12/2004
Hecho #102: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados",INUNDACION,-31.209957,-57.579340,16/07/2007
Hecho #103: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía",SEQUIA,-45.960421,-54.268466,23/01/2023
Hecho #104: evento reportado,"Afecta a varias localidades, se registraron evacuados, Afecta a varias localidades, se registraron evacuados",TORMENTA ELECTRICA,-22.048003,-56.867606,05/08/2016
Hecho #105: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Evaluación preliminar de impacto socioeconómico, ambiental y vial",SEQUIA,-28.522469,-59.965310,26/11/2005
Hecho #106: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial",NEVADA,-30.625734,-67.308940,16/02/2021
Hecho #107: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados",TORMENTA ELECTRICA,-39.721709,-66.462371,30/06/2018
Hecho #108: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Se emiten alertas tempranas y recomendaciones a la población",DESLIZAMIENTO,-45.743787,-54.054579,23/12/2001
Hecho #109: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía",INCENDIO,-51.722707,-55.787488,18/04/2007
Hecho #110: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía",SEQUIA,-24.311519,-65.810191,29/09/2021
Hecho #111: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Afecta a varias localidades, se registraron evacuados",VIENTO,-39.503606,-65.534652,12/01/2009
Hecho #112: evento reportado,"Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial",SISMO,-48.119646,-67.046112,19/12/2000
Hecho #113: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Afecta a varias localidades, se registraron evacuados, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA,-44.597475,-66.477397,20/07/2015
Hecho #114: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA,-35.306535,-55.786651,22/02/2023
Hecho #115: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía",GRANIZO,-48.989725,-72.789863,30/04/2014
Hecho #116: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Se emiten alertas tempranas y recomendaciones a la población",DESLIZAMIENTO,-25.875114,-64.278948,13/02/2025
Hecho #117: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población",INCENDIO,-29.210336,-54.143206,09/12/2002
Hecho #118: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados",DESLIZAMIENTO,-30.538259,-62.147273,09/03/2017
Hecho #119: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",GRANIZO,-40.308837,-63.991084,23/09/2016
Hecho #120: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía",GRANIZO,-33.671499,-66.752604,05/05/2025
Hecho #121: evento reportado,"Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INCENDIO,-35.140669,-71.521747,02/06/2013
Hecho #122: evento reportado,"Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INUNDACION,-32.905216,-68.510270,01/03/2021
Hecho #123: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía",GRANIZO,-52.128893,-71.190832,29/09/2003
Hecho #124: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía",NEVADA,-40.862548,-70.466011,21/02/2001
Hecho #125: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Se emiten alertas tempranas y recomendaciones a la población, Interviene defensa civil, bomberos y autoridades locales",GRANIZO,-53.585118,-69.729669,13/06/2018
Hecho #126: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Reporte de evento con daños materiales y cortes de energía",TORMENTA ELECTRICA,-38.204312,-66.959411,05/02/2000
Hecho #127: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Evaluación preliminar de impacto socioeconómico, ambiental y vial",INCENDIO,-43.784719,-72.779666,11/07/2022
Hecho #128: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados",NEVADA,-50.086178,-53.997122,14/07/2000
Hecho #129: evento reportado,"Afecta a varias localidades, se registraron evacuados, Interviene defensa civil, bomberos y autoridades locales",TORMENTA,-51.484299,-70.523618,23/09/2017
Hecho #130: evento reportado,"Afecta a varias localidades, se registraron evacuados, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA ELECTRICA,-35.020085,-65.337023,21/08/2011
Hecho #131: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población",GRANIZO,-49.199839,-55.409449,14/08/2016
Hecho #132: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Se emiten alertas tempranas y recomendaciones a la población, Reporte de evento con daños materiales y cortes de energía",DESLIZAMIENTO,-23.545916,-70.868641,19/01/2016
Hecho #133: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados",VIENTO,-35.243921,-63.327915,10/06/2011
Hecho #134: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Interviene defensa civil, bomberos y autoridades locales",TORMENTA,-43.206427,-56.104328,25/05/2012
Hecho #135: evento reportado,"Interviene defensa civil, bomberos y autoridades locales, Reporte de evento con daños materiales y cortes de energía, Afecta a varias localidades, se registraron evacuados",INCENDIO,-34.908873,-61.860748,17/12/2012
Hecho #136: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población",SEQUIA,-54.224668,-68.793128,08/06/2017
Hecho #137: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Evaluación preliminar de impacto socioeconómico, ambiental y vial",TORMENTA ELECTRICA,-22.408987,-58.289809,16/04/2018
Hecho #138: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Evaluación preliminar de impacto socioeconómico, ambiental y vial, Reporte de evento con daños materiales y cortes de energía",SEQUIA,-38.601683,-59.373179,30/07/2011
Hecho #139: evento reportado,"Afecta a varias localidades, se registraron evacuados, Se emiten alertas tempranas y recomendaciones a la población, Afecta a varias localidades, se registraron evacuados",TORMENTA ELECTRICA,-28.387002,-65.756282,28/01/2009
Hecho #140: evento reportado,"Evaluación preliminar de impacto socioeconómico, ambiental y vial, Afecta a varias localidades, se registraron evacuados",VIENTO,-52.187180,-72.074097,04/02/2001
Hecho #141: evento reportado,"Reporte de evento con daños materiales y cortes de energía, Evaluación preliminar de impacto socioeconómico, ambiental y vial",TORMENTA,-38.453617,-72.842706,24/01/2020
Hecho #142: evento reportado,"Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población, Se emiten alertas tempranas y recomendaciones a la población",TORMENTA ELECTRICA,-38.315962,-56.492142,28/10/2005
